img,sigma,H,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,Pose1,Pose2,Pose3,Pose4,Pose5,Pose6,Pose7,Pose8,Pose9,Pose10,Pose11,Pose12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
flipped_image_098.png,0.5943297,-9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.05876,116.29831,97.086334,109.81749,117.97831,107.01182,23.85633,123.88007,125.24078,70.718254,115.087105,133.71376
image_068.png,0.5501132,0.0,0.11079168,0.09322134,0.0116257295,0.49936518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.393887,153.71852,85.028885,126.64297,129.43578,81.80734,92.02112,117.16954,119.73353,20.53913,124.40197,129.17787
image_049.png,0.43044585,1.7554956674575806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.48412,134.09477,94.590195,126.0012,127.452354,98.376526,173.14708,123.47853,109.18821,33.68151,125.67936,123.3008
image_115.png,0.53083223,1.826958417892456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6575,156.75926,73.55308,163.42519,114.4955,98.09829,15.885287,133.1251,131.02513,91.19749,140.91618,164.6046
image_121.png,0.60552883,1.4099470376968384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.75489,160.0425,65.8994,129.45604,118.63084,97.46072,16.863178,129.19029,124.45075,83.88927,140.40146,165.4108
image_020.png,0.34025177,-9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.601585,156.51749,65.30849,128.76585,137.50403,71.27427,26.087416,127.3386,124.43625,175.50423,120.63225,133.01964
image_110.png,0.4359395,1.0775562524795532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.81744,133.1208,106.04454,89.6198,130.76526,109.550575,198.01717,132.40118,116.92674,12.778396,131.11467,117.71785
image_113.png,0.496335,2.203169822692871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.63484,118.18387,111.29584,59.113693,123.232285,116.5846,180.74692,116.70461,113.30125,13.454507,126.491646,124.68544
flipped_image_101.png,0.541349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.31016,164.38475,60.04048,137.78163,119.76744,88.78965,95.33354,116.71966,112.55184,36.714405,118.31718,135.81982
image_017.png,0.355933,-9.99999993922529e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.08712,141.1028,71.90622,50.49654,125.65582,115.43832,171.62325,117.50466,123.31182,157.79745,123.62507,144.27867
