img,sigma,H,AU1,AU2,AU3,AU4,Pose1,Pose2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
image_138.png,0.50683165,192.1618194580078,0.09856375306844711,0.1227513775229454,0.9735392928123474,0.5675567984580994,0.0,0.0,146.84921,114.194016,91.9358,39.48732,119.45905,139.91231,86.81512,111.26853,157.49968,131.31897,104.74794,159.51515
image_148.png,0.5192917,202.43670654296875,0.0,0.0,0.0,0.0,0.0,0.0,114.117516,132.2246,81.03367,37.80483,122.188324,126.01537,156.177,123.88445,154.69452,100.75256,131.77068,169.9313
flipped_image_125.png,0.53354293,256.9207763671875,0.12530413269996643,0.03383414074778557,0.011355710215866566,0.5227503180503845,-1.5319128905725843,0.16206228554646737,90.05588,144.06113,76.325485,123.442215,123.25336,88.66177,38.607903,124.03503,123.79419,84.94236,120.19899,151.18066
image_050.png,0.6286917,504.16314697265625,0.0,0.0,0.0,0.0,0.0,0.0,54.53563,136.90146,92.49495,109.53565,129.22014,89.34823,60.181152,125.26645,126.4634,22.270643,123.203354,128.52432
image_112.png,0.5020703,375.31597900390625,0.0,0.0,0.0,0.0,0.0,0.0,134.0414,122.995094,107.8354,55.25211,124.89836,114.03295,183.82675,119.07096,113.70175,12.995335,126.88367,124.02766
flipped_image_081.png,0.47542498,429.5206298828125,0.0,0.0,0.0,0.0,0.0,0.0,91.7717,150.40303,76.59898,148.3251,119.867645,111.71896,32.419407,129.28525,127.0748,116.05732,118.89984,155.75581
flipped_image_089.png,0.39701784,208.07476806640625,0.1248134896159172,0.016814792528748512,0.004547483753412962,0.5000180602073669,0.07397866745951504,-0.5022909833296658,117.556175,140.48189,72.9063,19.344547,128.03903,122.791725,93.5218,130.9449,138.6379,135.81526,115.33142,126.48922
flipped_image_086.png,0.46959272,498.68121337890625,0.0,0.0,0.0,0.0,0.0,0.0,93.321014,136.30936,88.63516,142.43245,115.79072,107.20683,37.13594,126.200615,125.16916,108.65318,123.09251,148.42023
flipped_image_150.png,0.5723588,337.48333740234375,0.0,0.0,0.0,0.0,0.0,0.0,113.900444,128.10219,85.43048,38.08323,121.01485,129.76633,158.5932,123.8408,151.68486,106.82158,128.59663,170.75468
flipped_image_047.png,0.62680376,507.0622863769531,0.0,0.0,0.0,0.0,0.0,0.0,49.025887,165.35033,67.44169,26.672848,123.205315,125.46568,132.72894,105.63663,117.864525,90.301506,104.162926,135.35008
flipped_image_094.png,0.52369523,394.9063415527344,0.0,0.0,0.0,0.0,-0.01280852162614391,-0.4279553483143165,88.625916,138.01413,83.5607,23.479053,123.703545,126.82114,123.41363,110.41055,132.14076,75.79823,123.80996,153.72586
image_069.png,0.5646031,190.41537475585938,0.0,0.0,0.0,0.0,0.0,0.0,62.510807,163.17267,64.64568,99.80999,140.4056,75.53764,90.32403,116.81101,115.49116,23.755941,120.24413,129.2299
flipped_image_091.png,0.46838915,164.4552764892578,0.0,0.0,0.0,0.0,-0.14568923312415427,-0.055212648707149266,85.88272,150.35269,70.51696,141.06242,117.197105,108.96541,24.536695,128.08315,126.013435,102.58613,102.25249,149.84795
image_042.png,0.6732048,496.1724548339844,0.0,0.0,0.0,0.0,0.04594878907663247,-0.6848940238680292,61.34566,183.29834,47.532845,41.149387,165.85344,69.63647,14.014059,124.10535,128.05904,80.66645,94.308586,157.9008
flipped_image_100.png,0.58482945,202.9894561767578,0.0,0.0,0.0,0.0,0.0,0.0,85.2644,147.7111,73.22784,135.59662,117.542656,92.87779,25.32164,125.418884,122.386246,94.767235,108.7339,134.76997
flipped_image_020.png,0.34112597,150.2774658203125,0.0,0.0,0.0,0.0,-0.5780249248339226,-0.05143708464606612,83.601585,156.51749,65.30849,128.76585,137.50403,71.27427,26.087416,127.3386,124.43625,175.50423,120.63225,133.01964
image_134.png,0.25257117,210.68991088867188,0.0,0.0,0.0,0.0,0.0,0.0,115.41772,140.90318,81.55239,37.465637,134.30385,109.56033,194.69814,109.83598,119.26159,155.85204,106.082344,145.76297
flipped_image_021.png,0.38774687,250.02862548828125,0.0,0.0,0.0,0.0,0.33192753040186906,-0.27043196727292296,108.72065,150.2171,64.305305,148.09946,127.253456,83.7863,28.645992,126.48258,123.57557,177.99573,123.703125,148.96214
image_035.png,0.44887516,489.262451171875,0.1286788433790207,0.02486630342900753,0.021763812750577927,0.5175899863243103,-0.5546968590725649,-0.10230034795179566,37.441574,123.00058,136.1395,144.38536,119.34935,136.40356,109.76509,121.502396,141.81894,84.79201,122.25286,143.19757
flipped_image_011.png,0.55872923,258.04241943359375,0.0,0.0,0.0,0.0,-0.2211534463726743,-0.30961438123792395,80.19317,164.50046,58.21968,109.13744,150.20651,63.13215,16.867168,126.03875,123.04545,110.358795,127.35072,156.04535
flipped_image_078.png,0.4851767,377.4813537597656,0.0,0.0,0.0,0.0,-0.673458990337281,-0.19294532277882648,78.01794,153.2134,69.853195,37.036133,126.749504,129.7177,115.517456,113.70323,116.82703,96.77623,101.77116,155.63304
flipped_image_095.png,0.47516203,320.16387939453125,0.0,0.0,0.0,0.0,0.39779073764305617,0.7061708059586528,103.61965,138.38025,77.78908,31.80355,124.806625,125.73683,138.65384,111.15984,118.99001,106.454666,111.785164,150.54286
image_013.png,0.36096048,229.19058227539062,0.0,0.0,0.0,0.0,0.0,0.0,85.22716,159.44078,62.192783,131.24504,133.26013,77.25584,24.91602,126.50123,122.70528,172.63509,120.43825,129.62425
flipped_image_044.png,0.6849499,443.11834716796875,0.0,0.0,0.0,0.0,0.5650177590547836,-1.2864774180109901,55.775322,153.62172,76.87714,13.52644,124.95467,129.61528,52.965744,112.48539,140.79588,116.366356,103.07419,131.67905
flipped_image_068.png,0.5501432,261.57635498046875,0.09895817935466766,0.07082154601812363,0.011902792379260063,0.5005356073379517,-0.13897274090947387,-0.12203787658128423,53.393887,153.71852,85.028885,126.65318,129.43431,81.806496,92.020996,117.1701,119.73245,20.53913,124.40197,129.17787
image_064.png,0.5592985,288.2166442871094,0.0,0.0,0.0,0.0,0.13869228830021627,0.4027623451334891,65.817604,152.08636,77.062035,116.46372,116.37975,106.16448,23.1776,125.40652,128.90646,90.39362,112.08342,127.35571
flipped_image_134.png,0.252952,210.6454620361328,0.0,0.0,0.0,0.0,0.0,0.0,115.404465,140.89792,81.56465,37.45413,134.29906,109.57023,194.73375,109.82702,119.19052,156.11047,106.14748,145.74266
flipped_image_117.png,0.42231432,348.2136535644531,0.0,0.0,0.0,0.0,0.0,0.0,111.515076,142.11598,73.62178,170.74185,113.472916,102.374855,38.61775,129.25325,122.18596,139.03378,127.14881,157.61378
flipped_image_002.png,0.45699644,242.48397827148438,0.10201628506183624,0.041935037821531296,0.9730425477027893,0.4918536841869354,-0.23156414056574184,-0.458641959899549,100.98456,151.25366,74.650826,139.94725,123.91124,91.713036,33.78554,122.376526,131.4849,113.37574,105.51065,161.07964
flipped_image_105.png,0.57980746,324.611572265625,0.0,0.0,0.0,0.0,-0.5647398190670447,-0.47667297459426,144.21124,125.12357,87.253006,19.21374,124.50656,126.892075,72.914764,118.893875,133.08018,130.13535,84.41576,160.20183
image_127.png,0.61846125,222.89117431640625,0.10869952291250229,0.05153607204556465,0.01659771054983139,0.5222724080085754,-0.645391716792141,-0.291616412774748,70.74418,152.60667,71.67064,102.426155,127.60477,88.60338,73.526306,120.80324,130.04756,34.897766,116.12802,136.94392
image_044.png,0.6852076,443.2572937011719,0.0,0.0,0.0,0.0,0.0,0.0,55.775322,153.62172,76.87714,13.52644,124.95467,129.61528,52.965744,112.48539,140.79588,116.366356,103.07419,131.67905
image_072.png,0.44626972,316.38104248046875,0.10449612885713577,0.13079020380973816,0.9779040813446045,0.5278900861740112,-0.5996872538616642,0.4600140377395845,163.47806,126.615105,96.87024,20.390997,127.96614,127.04887,82.99117,121.97687,160.223,132.55212,110.80399,147.4497
flipped_image_120.png,0.5602106,397.49029541015625,0.0,0.0,0.0,0.0,1.00602647539983,-1.0827992190353117,83.14355,145.21611,76.2275,132.18451,118.913765,92.350395,21.68572,126.493965,131.32524,92.23868,109.1429,145.36617
flipped_image_025.png,0.42173,194.49990844726562,0.0,0.0,0.0,0.0,0.10351323425961713,0.23260056455195915,101.14707,144.57591,71.139366,130.52606,128.97287,79.67297,54.568798,124.247154,112.20678,173.75655,119.146935,127.60629
image_147.png,0.47914046,279.0733337402344,0.0,0.0,0.0,0.0,0.0,0.0,118.304085,127.05544,85.59391,55.27958,121.68093,113.526085,159.93518,119.38474,137.09264,104.39188,123.794,160.98616
flipped_image_074.png,0.5199243,182.39193725585938,0.0,0.0,0.0,0.0,-0.12986248783178814,-0.3684668435099981,113.08799,136.1391,81.25767,171.07698,108.49861,99.44859,21.370176,126.08529,125.54351,144.36447,106.82355,128.38635
flipped_image_050.png,0.6285652,504.0445861816406,0.0,0.0,0.0,0.0,0.0,0.0,54.537952,136.90175,92.49373,109.53538,129.22102,89.353004,60.1749,125.26494,126.46307,22.270643,123.203354,128.52432
flipped_image_102.png,0.4088046,204.23614501953125,0.0,0.0,0.0,0.0,0.0,0.0,103.430046,157.35039,150.34177,9.772942,128.18604,126.01985,210.70256,123.53722,132.07585,159.60188,113.63641,124.62046
flipped_image_090.png,0.46154484,150.8018798828125,0.0,0.0,0.0,0.0,0.36218491284880955,0.5903609461752968,118.88341,129.15543,83.28056,145.78288,110.42698,110.97569,31.885073,121.29251,123.45516,91.579865,105.844666,145.5128
flipped_image_032.png,0.47901842,479.9854736328125,0.11756972223520279,0.029975906014442444,0.9937141537666321,0.42204198241233826,1.1476411278485852,-0.21335466380693094,27.28751,125.3106,135.42998,152.72293,120.53037,139.13722,86.42034,123.881,146.0057,113.61421,123.0242,145.135
image_087.png,0.42805597,392.1858215332031,0.0,0.0,0.0,0.0,0.0,0.0,91.87654,136.78552,94.294426,144.69188,119.57721,105.9505,37.8444,127.26475,130.37344,124.04076,115.910934,155.25925
image_096.png,0.48159575,311.3090515136719,0.0,0.0,0.0,0.0,0.0,0.0,72.16233,158.1343,67.87403,138.16634,115.50401,106.784355,25.66585,127.14691,122.657364,111.73618,109.98282,142.44588
image_100.png,0.5845426,202.936767578125,0.0,0.0,0.0,0.0,0.0,0.0,85.27353,147.70699,73.22924,135.62935,117.535614,92.87668,25.323744,125.4198,122.38401,94.7696,108.73564,134.76384
