content,style,IP,total,S,C,E,H
55213,image_063,0.19021889567375183,0.3708830177783966,0.1961492468177603,0.9302848710378183,0.0,[0.9806518]
55213,image_103,0.18857629597187042,0.35671117901802063,0.1944553312329966,0.8923628095259795,0.20163790515195493,[0.76745033]
55213,image_106,0.1832132637500763,0.3617459535598755,0.18910183080658613,0.9337773392580275,-0.417466005666809,[0.7302933]
55213,image_107,0.17834153771400452,0.35613611340522766,0.18432032811287985,0.926090123084431,-0.02988399751958589,[0.70555866]
55213,flipped_image_088,0.17814403772354126,0.3521890640258789,0.18401359586463448,0.9057319100998567,0.0,[0.75305945]
55232,flipped_image_126,0.1911761313676834,0.3665267825126648,0.19794539482950035,0.9239602181907912,0.0,[0.77270746]
55232,flipped_image_103,0.18207870423793793,0.34317654371261597,0.18897534495528664,0.8627564102909719,0.6891102502505462,[0.62299067]
55232,flipped_image_133,0.18012340366840363,0.3513643443584442,0.18701293938537875,0.8773844168373688,-0.996813197164186,[0.93284374]
55232,flipped_image_020,0.17979082465171814,0.3434680104255676,0.18672603178229602,0.8415118420131218,0.9349121612525424,[0.960603]
55232,image_112,0.1784532368183136,0.36832866072654724,0.18533239982821478,0.9864574682747759,0.0,[0.58553886]
55300,flipped_image_032,0.2043725848197937,0.3752930164337158,0.20909062568581713,0.9254104912822714,-0.9192989099968875,[0.804259]
55300,flipped_image_119,0.19397833943367004,0.37739047408103943,0.1987493361158307,0.964298277364607,-0.9144800136944526,[0.823867]
55300,image_136,0.18957987427711487,0.3571847379207611,0.19434417706490031,0.8768110614251489,0.0,[0.9738637]
55300,flipped_image_002,0.18220585584640503,0.3701627254486084,0.18709642630512058,0.9704222851537015,0.7795019216852782,[0.7999052]
55300,flipped_image_021,0.1809098720550537,0.36686328053474426,0.1856595255538825,0.9593566170051804,-0.6992440847330866,[0.8124796]
55070,flipped_image_006,0.19282355904579163,0.3547304570674896,0.1971707020916156,0.8595905317319621,0.0,[0.95025706]
55070,flipped_image_121,0.18515604734420776,0.35206136107444763,0.18955996715229623,0.8921996151165879,0.0,[0.7081733]
55070,image_093,0.18506771326065063,0.36464232206344604,0.18948400564312198,0.9229118830432429,0.9990615147668386,[0.98668885]
55070,image_043,0.18395556509494781,0.35054275393486023,0.18845155661115381,0.8924478986769134,0.0,[0.66818345]
55070,image_001,0.1835564523935318,0.3391822278499603,0.18800555449929057,0.8330976137003367,0.0,[0.79829335]
55038,image_043,0.1836737096309662,0.3516399562358856,0.19017199326890066,0.9072703130693484,0.0,[0.49237043]
55038,image_074,0.18182021379470825,0.35128429532051086,0.1882800354357618,0.8677154629333615,-0.14565207158512494,[0.99568534]
55038,flipped_image_078,0.18110936880111694,0.35683903098106384,0.1874741466889404,0.9225887233251768,0.7918036084771475,[0.6705862]
55038,image_106,0.17989812791347504,0.37268105149269104,0.1863561892713066,0.9945211067838089,-0.7818732950808666,[0.6745941]
55038,image_081,0.17986002564430237,0.3483409583568573,0.18631049523812235,0.8967537453726186,0.0,[0.5835128]
55030,flipped_image_063,0.998528242111206,0.935653805732727,0.9988514353028507,0.9502409803312228,0.6253226781089763,[0.8951185]
55030,image_036,0.1897786259651184,0.3603573739528656,0.19784565545519298,0.902754441011633,0.0,[0.71159405]
55030,flipped_image_011,0.1877577006816864,0.36428117752075195,0.19589973298914923,0.9145824066940877,-0.8684305864050726,[0.83987194]
55030,image_059,0.18041571974754333,0.3472898602485657,0.18862439661867175,0.8663127293702524,-0.9999181957677559,[0.8000438]
55030,flipped_image_035,0.1792353093624115,0.34782537817955017,0.187310692972469,0.9026763466261751,0.8530175728917396,[0.4546166]
55241,flipped_image_114,0.1907946616411209,0.3771401643753052,0.1985452749584022,0.9768755873960466,0.0,[0.6738544]
55241,flipped_image_149,0.18494802713394165,0.3609135150909424,0.1926721707237183,0.9163017734155445,0.0,[0.76467943]
55241,flipped_image_120,0.18142792582511902,0.3604311943054199,0.18921211287517536,0.9474792944526398,0.9991906859296009,[0.5031247]
55241,image_061,0.17958667874336243,0.36445510387420654,0.18734555584574625,0.9398116435205921,-0.7301527254056142,[0.8578278]
55241,flipped_image_055,0.17922881245613098,0.3472265303134918,0.1869632882548454,0.9053927003405396,-0.7534932006589826,[0.40559542]
55164,image_128,0.19046470522880554,0.3716375231742859,0.1967653606967539,0.9548482809948446,-0.048357952202919316,[0.71433294]
55164,flipped_image_020,0.18990811705589294,0.3792887330055237,0.19621358727438074,0.966663382173244,-0.5606259484751629,[0.9803318]
55164,flipped_image_102,0.18622636795043945,0.3408588469028473,0.19243783255332272,0.8154679744168621,0.0,[0.9297371]
55164,flipped_image_096,0.18318164348602295,0.37317100167274475,0.18950615885959338,0.980387011303545,0.0,[0.75138324]
55164,image_138,0.18306945264339447,0.3609393239021301,0.1893969280959794,0.9102793395171787,0.0,[0.949861]
55043,image_097,0.20410342514514923,0.3812068700790405,0.20936416370150515,0.9541912090752487,0.6264593943765117,[0.75939935]
55043,flipped_image_035,0.1914227455854416,0.3609444200992584,0.19670863536920996,0.9116086519110083,-0.4513767696883273,[0.678919]
55043,flipped_image_102,0.18433114886283875,0.3459502160549164,0.18962013440441006,0.8534484602762171,0.0,[0.84614855]
55043,flipped_image_088,0.1840273141860962,0.37097060680389404,0.1893612306440255,0.9590437610848564,0.0,[0.89188343]
55043,flipped_image_147,0.17967839539051056,0.35160961747169495,0.18519628949639358,0.8807047798457978,-0.305061777975686,[0.9705055]
56924,image_033,0.18948116898536682,0.3625853657722473,0.19585939561908625,0.9286206072934362,0.0,[0.59505254]
56924,flipped_image_134,0.1892438530921936,0.3824409246444702,0.19558499801421506,0.9853512020417265,0.0,[0.9450324]
56924,image_119,0.18848028779029846,0.3484196960926056,0.19489149548646914,0.8768274307266609,0.0,[0.5162672]
56924,flipped_image_079,0.18216238915920258,0.3512408435344696,0.18851134435781391,0.9077628996848479,0.0,[0.52487075]
56924,image_007,0.1803782731294632,0.36639702320098877,0.18675953531744258,0.9558467060077134,0.0,[0.79103017]
56454,image_027,0.1800479292869568,0.3593321442604065,0.18945112422817603,0.9089990162346168,0.0,[0.88232946]
56454,flipped_image_055,0.17766883969306946,0.35064607858657837,0.1871482733245577,0.9006720895267942,0.5265736216980048,[0.6243862]
56454,image_069,0.1741025149822235,0.35001665353775024,0.18367920492741469,0.8816608849255655,0.0,[0.9329596]
56454,flipped_image_021,0.17360055446624756,0.3607955276966095,0.18297443503956848,0.927650971246073,-0.9262556789394241,[0.967685]
56454,flipped_image_030,0.16943301260471344,0.3604152798652649,0.1790959495121954,0.9661819671541196,-0.8039697154233737,[0.6413138]
55531,image_082,0.9994536638259888,0.901587963104248,0.9997363465000789,0.8209408957242721,0.0,[0.64780617]
55531,image_102,0.1894683986902237,0.3718772530555725,0.1973775011189037,0.9468392680336599,0.0,[0.79699886]
55531,image_043,0.18559853732585907,0.34691521525382996,0.19365455077815852,0.8902410672616933,0.0,[0.330078]
55531,image_145,0.18475757539272308,0.3618975281715393,0.19278285919219415,0.9199833745591002,0.7546469549406398,[0.7676672]
55531,image_012,0.18455421924591064,0.3507547378540039,0.1925584548698637,0.8864939358230131,-0.46840363254695483,[0.6035107]
55221,image_139,0.18610791862010956,0.3663678467273712,0.1942893952670471,0.9465564349590098,0.0,[0.6328645]
55221,flipped_image_039,0.17836961150169373,0.3452446162700653,0.18653446822670716,0.8513911623648893,0.007799717242271363,[0.9425274]
55221,flipped_image_030,0.17823156714439392,0.3581492006778717,0.18646694235122316,0.9384218304517318,0.5933145989706392,[0.58926654]
55221,flipped_image_093,0.17550265789031982,0.35338252782821655,0.18372116195834778,0.9039443089495963,0.9965634439156983,[0.8435267]
55221,image_001,0.17532557249069214,0.37465232610702515,0.18354351385428017,0.9884449750196984,0.0,[0.9414762]
55176,image_004,0.19049018621444702,0.36418506503105164,0.19572654503297784,0.9126606575978392,-0.9978142976679273,[0.86322725]
55176,flipped_image_126,0.18733298778533936,0.36619338393211365,0.19249822306264844,0.9264230866154166,0.0,[0.9183666]
55176,image_054,0.18660077452659607,0.3550207018852234,0.1917828279469687,0.9132425178656687,0.0,[0.5363462]
55176,flipped_image_147,0.18385471403598785,0.3678327798843384,0.18919309006040266,0.9459048506221479,0.7489389204051832,[0.8919741]
55176,image_147,0.18384715914726257,0.36782094836235046,0.18918701605321023,0.945904303155158,0.0,[0.8916024]
56938,flipped_image_088,0.19116252660751343,0.37944096326828003,0.19867817658011078,0.9904744649768529,0.0,[0.62785614]
56938,image_119,0.18979957699775696,0.3745746314525604,0.19749330457134462,0.9883555919566746,0.0,[0.4503767]
56938,flipped_image_035,0.18879476189613342,0.3665066361427307,0.19632871540361763,0.959907421061605,-0.5727010087216017,[0.41489166]
56938,image_018,0.18830406665802002,0.3824002742767334,0.19588031550042417,0.9814017587263187,0.9815622919135891,[0.97808284]
56938,image_033,0.1844242513179779,0.3646910488605499,0.19213449116455752,0.9548420217361591,0.0,[0.52916205]
56401,flipped_image_084,0.18998461961746216,0.36468303203582764,0.1965023113568163,0.9351897464206358,0.0,[0.6018895]
56401,flipped_image_052,0.18725323677062988,0.35719338059425354,0.19384611017714393,0.9002265011618829,0.5857400384686291,[0.7224498]
56401,flipped_image_095,0.18301719427108765,0.3579702377319336,0.18936652852201263,0.9120438811512878,-0.9547065257938224,[0.78217787]
56401,image_058,0.18098419904708862,0.33806127309799194,0.18752645902718468,0.8243912559422009,0.4310735234650974,[0.85913885]
56401,flipped_image_002,0.1805601567029953,0.3675915598869324,0.18718430887911458,0.9492594535451164,0.9690325850702263,[0.9116444]
55436,flipped_image_059,0.9987524747848511,0.9049572944641113,0.9989154801560327,0.8210830516014438,-0.15079527759271202,[0.8433663]
55436,flipped_image_032,0.18593041598796844,0.3517013192176819,0.191845603690043,0.9006140914221153,-0.09721639748683138,[0.513408]
55436,flipped_image_009,0.18467694520950317,0.3522738814353943,0.19061014788997196,0.896617668554645,0.0,[0.6312356]
55436,flipped_image_086,0.18362203240394592,0.3587586283683777,0.18951566161894048,0.9410987698799521,0.0,[0.48224843]
55436,flipped_image_138,0.1835079789161682,0.3694015145301819,0.18940334216724344,0.9433040913062654,0.0,[0.9929608]
56990,image_095,0.1896582543849945,0.37578028440475464,0.19743138624876802,0.9462990403036489,0.8179773064461469,[0.99647695]
56990,image_014,0.18887504935264587,0.3727072477340698,0.19672603301199015,0.9665609690591282,0.3469183167011337,[0.6345011]
56990,flipped_image_119,0.18878616392612457,0.3551196753978729,0.19665150991535948,0.8803172654140192,-0.8601806500983469,[0.7495326]
56990,flipped_image_122,0.18369323015213013,0.3642690181732178,0.19169789482280725,0.9157825376283537,0.0,[0.9725251]
56990,flipped_image_114,0.183529332280159,0.3680073022842407,0.19153557850015016,0.933457892474003,0.0,[0.9618538]
55116,flipped_image_130,0.18622636795043945,0.3616468012332916,0.19297444971761146,0.9384864436020077,0.0,[0.5356407]
55116,flipped_image_091,0.1824788749217987,0.3518293797969818,0.18925276241120256,0.8737759906681329,-0.484205576151749,[0.9191985]
55116,flipped_image_051,0.18184344470500946,0.3552733361721039,0.18865587853768714,0.9193903037011897,-0.5584857180462324,[0.5877222]
55116,image_120,0.17921125888824463,0.3423532247543335,0.18607350509303996,0.876005030262937,0.0,[0.53103054]
55116,image_002,0.17803539335727692,0.3485047519207001,0.1847904800211705,0.8841955078047911,0.5228513884042274,[0.7893224]
